date,airline,source,destination,scheduled_flights,cancelled_flights,flown_flights,avg_fare_inr,on_time_pct,cancellation_rate,route,is_indigo,period
2025-08-02,IndiGo,DEL,HYD,28,2,26,4402.0,85.1,0.071,DEL-HYD,True,normal
2025-08-02,IndiGo,BLR,MAA,11,0,11,4648.0,82.4,0.0,BLR-MAA,True,normal
2025-08-02,IndiGo,DEL,MAA,19,1,18,6171.0,80.2,0.053,DEL-MAA,True,normal
2025-08-02,IndiGo,BOM,PNQ,15,0,15,3727.0,73.5,0.0,BOM-PNQ,True,normal
2025-08-02,IndiGo,DEL,GOI,22,0,22,3012.0,96.0,0.0,DEL-GOI,True,normal
2025-08-02,IndiGo,BLR,CCU,9,1,8,3778.0,86.8,0.111,BLR-CCU,True,normal
2025-08-02,IndiGo,BOM,AMD,17,1,16,4097.0,92.4,0.059,BOM-AMD,True,normal
2025-08-02,Air India,DEL,BOM,17,0,17,4242.0,83.1,0.0,DEL-BOM,False,normal
2025-08-02,Air India,DEL,BLR,19,0,19,2819.0,92.7,0.0,DEL-BLR,False,normal
2025-08-02,Air India,BOM,BLR,13,0,13,4304.0,86.0,0.0,BOM-BLR,False,normal
2025-08-02,Air India,DEL,CCU,19,0,19,4781.0,93.2,0.0,DEL-CCU,False,normal
2025-08-02,Air India,BOM,HYD,20,0,20,2617.0,90.3,0.0,BOM-HYD,False,normal
2025-08-02,Air India,DEL,HYD,16,0,16,5666.0,76.7,0.0,DEL-HYD,False,normal
2025-08-02,Air India,BLR,MAA,18,0,18,4171.0,91.7,0.0,BLR-MAA,False,normal
2025-08-02,Air India,DEL,MAA,15,0,15,4530.0,79.4,0.0,DEL-MAA,False,normal
2025-08-02,Air India,BOM,PNQ,14,0,14,5060.0,82.3,0.0,BOM-PNQ,False,normal
2025-08-02,Air India,DEL,GOI,9,0,9,4104.0,78.8,0.0,DEL-GOI,False,normal
2025-08-02,Air India,BLR,CCU,14,0,14,4232.0,88.1,0.0,BLR-CCU,False,normal
2025-08-02,Air India,BOM,AMD,12,1,11,4099.0,83.7,0.083,BOM-AMD,False,normal
2025-08-02,SpiceJet,DEL,BOM,14,0,14,2128.0,81.2,0.0,DEL-BOM,False,normal
2025-08-02,SpiceJet,DEL,BLR,21,0,21,4719.0,86.9,0.0,DEL-BLR,False,normal
2025-08-02,SpiceJet,BOM,BLR,18,0,18,3340.0,80.1,0.0,BOM-BLR,False,normal
2025-08-02,SpiceJet,DEL,CCU,17,0,17,3618.0,78.5,0.0,DEL-CCU,False,normal
2025-08-02,SpiceJet,BOM,HYD,13,0,13,4993.0,79.8,0.0,BOM-HYD,False,normal
2025-08-02,SpiceJet,DEL,HYD,18,0,18,3266.0,83.9,0.0,DEL-HYD,False,normal
2025-08-02,SpiceJet,BLR,MAA,15,0,15,5918.0,85.2,0.0,BLR-MAA,False,normal
2025-08-02,SpiceJet,DEL,MAA,15,0,15,3614.0,82.1,0.0,DEL-MAA,False,normal
2025-08-02,SpiceJet,BOM,PNQ,14,0,14,3452.0,87.3,0.0,BOM-PNQ,False,normal
2025-08-02,SpiceJet,DEL,GOI,15,0,15,4289.0,89.5,0.0,DEL-GOI,False,normal
2025-08-02,SpiceJet,BLR,CCU,19,0,19,4714.0,86.7,0.0,BLR-CCU,False,normal
2025-08-02,SpiceJet,BOM,AMD,15,0,15,4775.0,75.0,0.0,BOM-AMD,False,normal
2025-08-02,Akasa Air,DEL,BOM,13,0,13,4243.0,81.4,0.0,DEL-BOM,False,normal
2025-08-02,Akasa Air,DEL,BLR,20,0,20,1976.0,80.2,0.0,DEL-BLR,False,normal
2025-08-02,Akasa Air,BOM,BLR,13,0,13,4060.0,84.3,0.0,BOM-BLR,False,normal
2025-08-02,Akasa Air,DEL,CCU,22,0,22,4555.0,82.5,0.0,DEL-CCU,False,normal
2025-08-02,Akasa Air,BOM,HYD,20,0,20,3907.0,83.5,0.0,BOM-HYD,False,normal
2025-08-02,Akasa Air,DEL,HYD,17,0,17,4217.0,95.1,0.0,DEL-HYD,False,normal
2025-08-02,Akasa Air,BLR,MAA,15,1,14,2210.0,79.7,0.067,BLR-MAA,False,normal
2025-08-02,Akasa Air,DEL,MAA,25,0,25,4505.0,82.5,0.0,DEL-MAA,False,normal
2025-08-02,Akasa Air,BOM,PNQ,19,0,19,4423.0,78.5,0.0,BOM-PNQ,False,normal
2025-08-02,Akasa Air,DEL,GOI,21,0,21,4631.0,87.0,0.0,DEL-GOI,False,normal
2025-08-02,Akasa Air,BLR,CCU,16,0,16,3319.0,82.4,0.0,BLR-CCU,False,normal
2025-08-02,Akasa Air,BOM,AMD,20,0,20,3504.0,77.5,0.0,BOM-AMD,False,normal
2025-08-02,Air India Express,DEL,BOM,19,0,19,4150.0,86.1,0.0,DEL-BOM,False,normal
2025-08-02,Air India Express,DEL,BLR,19,1,18,4298.0,89.4,0.053,DEL-BLR,False,normal
2025-08-02,Air India Express,BOM,BLR,20,0,20,5411.0,86.1,0.0,BOM-BLR,False,normal
2025-08-02,Air India Express,DEL,CCU,25,0,25,4250.0,91.6,0.0,DEL-CCU,False,normal
2025-08-02,Air India Express,BOM,HYD,19,0,19,3816.0,90.1,0.0,BOM-HYD,False,normal
2025-08-02,Air India Express,DEL,HYD,24,0,24,3898.0,95.0,0.0,DEL-HYD,False,normal
2025-08-02,Air India Express,BLR,MAA,15,0,15,3955.0,89.8,0.0,BLR-MAA,False,normal
2025-08-02,Air India Express,DEL,MAA,16,0,16,3958.0,78.4,0.0,DEL-MAA,False,normal
2025-08-02,Air India Express,BOM,PNQ,18,0,18,4178.0,84.3,0.0,BOM-PNQ,False,normal
2025-08-02,Air India Express,DEL,GOI,14,0,14,3558.0,85.6,0.0,DEL-GOI,False,normal
2025-08-02,Air India Express,BLR,CCU,21,0,21,5182.0,77.9,0.0,BLR-CCU,False,normal
2025-08-02,Air India Express,BOM,AMD,26,0,26,3200.0,95.5,0.0,BOM-AMD,False,normal
2025-08-03,IndiGo,DEL,BOM,20,0,20,3184.0,85.6,0.0,DEL-BOM,True,normal
2025-08-03,IndiGo,DEL,BLR,14,0,14,3984.0,82.8,0.0,DEL-BLR,True,normal
2025-08-03,IndiGo,BOM,BLR,22,0,22,4754.0,75.0,0.0,BOM-BLR,True,normal
2025-08-03,IndiGo,DEL,CCU,23,0,23,3566.0,76.5,0.0,DEL-CCU,True,normal
2025-08-03,IndiGo,BOM,HYD,19,0,19,5779.0,74.5,0.0,BOM-HYD,True,normal
2025-08-03,IndiGo,DEL,HYD,26,0,26,4166.0,91.6,0.0,DEL-HYD,True,normal
2025-08-03,IndiGo,BLR,MAA,17,0,17,2661.0,81.3,0.0,BLR-MAA,True,normal
2025-08-03,IndiGo,DEL,MAA,18,0,18,4376.0,79.1,0.0,DEL-MAA,True,normal
2025-08-03,IndiGo,BOM,PNQ,15,0,15,4625.0,94.7,0.0,BOM-PNQ,True,normal
2025-08-03,IndiGo,DEL,GOI,20,1,19,2543.0,77.3,0.05,DEL-GOI,True,normal
2025-08-03,IndiGo,BLR,CCU,18,0,18,3547.0,76.4,0.0,BLR-CCU,True,normal
2025-08-03,IndiGo,BOM,AMD,17,0,17,3322.0,91.3,0.0,BOM-AMD,True,normal
2025-08-03,Air India,DEL,BOM,19,0,19,4366.0,88.6,0.0,DEL-BOM,False,normal
2025-08-03,Air India,DEL,BLR,10,0,10,5234.0,80.8,0.0,DEL-BLR,False,normal
2025-08-03,Air India,BOM,BLR,12,0,12,5794.0,75.7,0.0,BOM-BLR,False,normal
2025-08-03,Air India,DEL,CCU,20,0,20,3546.0,83.5,0.0,DEL-CCU,False,normal
2025-08-03,Air India,BOM,HYD,24,0,24,4759.0,91.4,0.0,BOM-HYD,False,normal
2025-08-03,Air India,DEL,HYD,20,1,19,4137.0,75.0,0.05,DEL-HYD,False,normal
2025-08-03,Air India,BLR,MAA,26,0,26,4387.0,89.9,0.0,BLR-MAA,False,normal
2025-08-03,Air India,DEL,MAA,16,1,15,4164.0,89.1,0.062,DEL-MAA,False,normal
2025-08-03,Air India,BOM,PNQ,16,0,16,3784.0,78.7,0.0,BOM-PNQ,False,normal
2025-08-03,Air India,DEL,GOI,21,0,21,5502.0,86.2,0.0,DEL-GOI,False,normal
2025-08-03,Air India,BLR,CCU,16,0,16,5001.0,89.3,0.0,BLR-CCU,False,normal
2025-08-03,Air India,BOM,AMD,16,0,16,6269.0,82.8,0.0,BOM-AMD,False,normal
2025-08-03,SpiceJet,DEL,BOM,21,0,21,3729.0,83.2,0.0,DEL-BOM,False,normal
2025-08-03,SpiceJet,DEL,BLR,15,0,15,4169.0,86.4,0.0,DEL-BLR,False,normal
2025-08-03,SpiceJet,BOM,BLR,17,1,16,4007.0,98.9,0.059,BOM-BLR,False,normal
2025-08-03,SpiceJet,DEL,CCU,20,0,20,3626.0,81.8,0.0,DEL-CCU,False,normal
2025-08-03,SpiceJet,BOM,HYD,15,0,15,5270.0,82.8,0.0,BOM-HYD,False,normal
2025-08-03,SpiceJet,DEL,HYD,21,0,21,3703.0,88.8,0.0,DEL-HYD,False,normal
2025-08-03,SpiceJet,BLR,MAA,15,0,15,5816.0,82.8,0.0,BLR-MAA,False,normal
2025-08-03,SpiceJet,DEL,MAA,22,0,22,4041.0,80.2,0.0,DEL-MAA,False,normal
2025-08-03,SpiceJet,BOM,PNQ,16,0,16,5815.0,89.2,0.0,BOM-PNQ,False,normal
2025-08-03,SpiceJet,DEL,GOI,18,0,18,3760.0,91.3,0.0,DEL-GOI,False,normal
2025-08-03,SpiceJet,BLR,CCU,20,1,19,3877.0,90.6,0.05,BLR-CCU,False,normal
2025-08-03,SpiceJet,BOM,AMD,22,0,22,5444.0,88.9,0.0,BOM-AMD,False,normal
2025-08-03,Akasa Air,DEL,BOM,14,0,14,4332.0,80.9,0.0,DEL-BOM,False,normal
2025-08-03,Akasa Air,DEL,BLR,18,0,18,4372.0,85.3,0.0,DEL-BLR,False,normal
2025-08-03,Akasa Air,BOM,BLR,19,0,19,6147.0,86.6,0.0,BOM-BLR,False,normal
2025-08-03,Akasa Air,DEL,CCU,16,1,15,3798.0,86.2,0.062,DEL-CCU,False,normal
2025-08-03,Akasa Air,BOM,HYD,16,0,16,3570.0,82.1,0.0,BOM-HYD,False,normal
2025-08-03,Akasa Air,DEL,HYD,13,0,13,5609.0,84.6,0.0,DEL-HYD,False,normal
2025-08-03,Akasa Air,BLR,MAA,20,0,20,2221.0,88.9,0.0,BLR-MAA,False,normal
2025-08-03,Akasa Air,DEL,MAA,15,0,15,3048.0,90.2,0.0,DEL-MAA,False,normal
2025-08-03,Akasa Air,BOM,PNQ,26,0,26,4111.0,77.6,0.0,BOM-PNQ,False,normal
2025-08-03,Akasa Air,DEL,GOI,17,0,17,3074.0,93.7,0.0,DEL-GOI,False,normal
2025-08-03,Akasa Air,BLR,CCU,23,0,23,4611.0,87.8,0.0,BLR-CCU,False,normal
2025-08-03,Akasa Air,BOM,AMD,19,0,19,4377.0,89.3,0.0,BOM-AMD,False,normal
2025-08-03,Air India Express,DEL,BOM,22,0,22,5821.0,80.6,0.0,DEL-BOM,False,normal
2025-08-03,Air India Express,DEL,BLR,19,0,19,3798.0,73.7,0.0,DEL-BLR,False,normal
2025-08-03,Air India Express,BOM,BLR,17,0,17,4884.0,87.2,0.0,BOM-BLR,False,normal
2025-08-03,Air India Express,DEL,CCU,12,1,11,4197.0,78.0,0.083,DEL-CCU,False,normal
2025-08-03,Air India Express,BOM,HYD,19,0,19,4224.0,79.7,0.0,BOM-HYD,False,normal
2025-08-03,Air India Express,DEL,HYD,16,0,16,3299.0,83.3,0.0,DEL-HYD,False,normal
2025-08-03,Air India Express,BLR,MAA,19,0,19,4715.0,86.7,0.0,BLR-MAA,False,normal
2025-08-03,Air India Express,DEL,MAA,20,1,19,4254.0,81.1,0.05,DEL-MAA,False,normal
2025-08-03,Air India Express,BOM,PNQ,20,0,20,3718.0,85.7,0.0,BOM-PNQ,False,normal
2025-08-03,Air India Express,DEL,GOI,22,0,22,5762.0,86.2,0.0,DEL-GOI,False,normal
2025-08-03,Air India Express,BLR,CCU,12,0,12,3765.0,78.8,0.0,BLR-CCU,False,normal
2025-08-03,Air India Express,BOM,AMD,21,0,21,5755.0,87.6,0.0,BOM-AMD,False,normal
2025-08-04,IndiGo,DEL,BOM,14,1,13,2698.0,90.6,0.071,DEL-BOM,True,normal
2025-08-04,IndiGo,DEL,BLR,17,0,17,4402.0,91.3,0.0,DEL-BLR,True,normal
2025-08-04,IndiGo,BOM,BLR,17,1,16,4165.0,75.2,0.059,BOM-BLR,True,normal
2025-08-04,IndiGo,DEL,CCU,14,0,14,3637.0,87.4,0.0,DEL-CCU,True,normal
2025-08-04,IndiGo,BOM,HYD,14,0,14,5255.0,84.1,0.0,BOM-HYD,True,normal
2025-08-04,IndiGo,DEL,HYD,18,0,18,3874.0,78.3,0.0,DEL-HYD,True,normal
2025-08-04,IndiGo,BLR,MAA,29,1,28,5245.0,75.7,0.034,BLR-MAA,True,normal
2025-08-04,IndiGo,DEL,MAA,11,0,11,5097.0,82.0,0.0,DEL-MAA,True,normal
2025-08-04,IndiGo,BOM,PNQ,17,0,17,4965.0,90.1,0.0,BOM-PNQ,True,normal
2025-08-04,IndiGo,DEL,GOI,18,1,17,5127.0,86.4,0.056,DEL-GOI,True,normal
2025-08-04,IndiGo,BLR,CCU,14,0,14,4166.0,84.2,0.0,BLR-CCU,True,normal
2025-08-04,IndiGo,BOM,AMD,25,0,25,5025.0,87.1,0.0,BOM-AMD,True,normal
2025-08-04,Air India,DEL,BOM,17,0,17,4074.0,79.4,0.0,DEL-BOM,False,normal
2025-08-04,Air India,DEL,BLR,12,0,12,4028.0,86.3,0.0,DEL-BLR,False,normal
2025-08-04,Air India,BOM,BLR,20,0,20,4528.0,90.8,0.0,BOM-BLR,False,normal
2025-08-04,Air India,DEL,CCU,19,1,18,5195.0,92.1,0.053,DEL-CCU,False,normal
2025-08-04,Air India,BOM,HYD,14,0,14,3168.0,91.0,0.0,BOM-HYD,False,normal
2025-08-04,Air India,DEL,HYD,21,0,21,3980.0,90.8,0.0,DEL-HYD,False,normal
2025-08-04,Air India,BLR,MAA,16,0,16,4831.0,92.7,0.0,BLR-MAA,False,normal
2025-08-04,Air India,DEL,MAA,13,0,13,3213.0,76.4,0.0,DEL-MAA,False,normal
2025-08-04,Air India,BOM,PNQ,17,0,17,2262.0,77.2,0.0,BOM-PNQ,False,normal
2025-08-04,Air India,DEL,GOI,11,0,11,3581.0,98.5,0.0,DEL-GOI,False,normal
2025-08-04,Air India,BLR,CCU,17,0,17,6262.0,78.1,0.0,BLR-CCU,False,normal
2025-08-04,Air India,BOM,AMD,17,0,17,5446.0,88.4,0.0,BOM-AMD,False,normal
2025-08-04,SpiceJet,DEL,BOM,27,0,27,4453.0,83.9,0.0,DEL-BOM,False,normal
2025-08-04,SpiceJet,DEL,BLR,12,0,12,3310.0,78.4,0.0,DEL-BLR,False,normal
2025-08-04,SpiceJet,BOM,BLR,22,0,22,2787.0,81.4,0.0,BOM-BLR,False,normal
2025-08-04,SpiceJet,DEL,CCU,13,0,13,4295.0,77.0,0.0,DEL-CCU,False,normal
2025-08-04,SpiceJet,BOM,HYD,20,1,19,4596.0,93.4,0.05,BOM-HYD,False,normal
2025-08-04,SpiceJet,DEL,HYD,18,0,18,4310.0,88.3,0.0,DEL-HYD,False,normal
2025-08-04,SpiceJet,BLR,MAA,15,0,15,5775.0,83.3,0.0,BLR-MAA,False,normal
2025-08-04,SpiceJet,DEL,MAA,15,0,15,3935.0,92.5,0.0,DEL-MAA,False,normal
2025-08-04,SpiceJet,BOM,PNQ,20,0,20,6131.0,88.1,0.0,BOM-PNQ,False,normal
2025-08-04,SpiceJet,DEL,GOI,23,0,23,4239.0,84.1,0.0,DEL-GOI,False,normal
2025-08-04,SpiceJet,BLR,CCU,19,0,19,2967.0,86.9,0.0,BLR-CCU,False,normal
2025-08-04,SpiceJet,BOM,AMD,13,0,13,5710.0,81.7,0.0,BOM-AMD,False,normal
2025-08-04,Akasa Air,DEL,BOM,13,0,13,5666.0,78.4,0.0,DEL-BOM,False,normal
2025-08-04,Akasa Air,DEL,BLR,16,0,16,4410.0,75.7,0.0,DEL-BLR,False,normal
2025-08-04,Akasa Air,BOM,BLR,23,0,23,4537.0,89.2,0.0,BOM-BLR,False,normal
2025-08-04,Akasa Air,DEL,CCU,21,0,21,4702.0,85.5,0.0,DEL-CCU,False,normal
2025-08-04,Akasa Air,BOM,HYD,14,0,14,2928.0,94.5,0.0,BOM-HYD,False,normal
2025-08-04,Akasa Air,DEL,HYD,16,0,16,3217.0,83.1,0.0,DEL-HYD,False,normal
2025-08-04,Akasa Air,BLR,MAA,18,0,18,4554.0,81.8,0.0,BLR-MAA,False,normal
2025-08-04,Akasa Air,DEL,MAA,20,0,20,3493.0,77.0,0.0,DEL-MAA,False,normal
2025-08-04,Akasa Air,BOM,PNQ,19,0,19,2262.0,90.0,0.0,BOM-PNQ,False,normal
2025-08-04,Akasa Air,DEL,GOI,23,1,22,4274.0,84.4,0.043,DEL-GOI,False,normal
2025-08-04,Akasa Air,BLR,CCU,17,0,17,4490.0,82.0,0.0,BLR-CCU,False,normal
2025-08-04,Akasa Air,BOM,AMD,17,0,17,4225.0,84.9,0.0,BOM-AMD,False,normal
2025-08-04,Air India Express,DEL,BOM,25,0,25,4702.0,69.8,0.0,DEL-BOM,False,normal
2025-08-04,Air India Express,DEL,BLR,13,0,13,4251.0,88.2,0.0,DEL-BLR,False,normal
2025-08-04,Air India Express,BOM,BLR,28,0,28,2422.0,86.7,0.0,BOM-BLR,False,normal
2025-08-04,Air India Express,DEL,CCU,14,0,14,4008.0,93.9,0.0,DEL-CCU,False,normal
2025-08-04,Air India Express,BOM,HYD,13,0,13,3928.0,85.1,0.0,BOM-HYD,False,normal
2025-08-04,Air India Express,DEL,HYD,19,0,19,1901.0,90.6,0.0,DEL-HYD,False,normal
2025-08-04,Air India Express,BLR,MAA,17,0,17,2578.0,90.3,0.0,BLR-MAA,False,normal
2025-08-04,Air India Express,DEL,MAA,18,0,18,3708.0,87.4,0.0,DEL-MAA,False,normal
2025-08-04,Air India Express,BOM,PNQ,18,0,18,4721.0,73.2,0.0,BOM-PNQ,False,normal
2025-08-04,Air India Express,DEL,GOI,22,0,22,3801.0,79.7,0.0,DEL-GOI,False,normal
2025-08-04,Air India Express,BLR,CCU,21,0,21,2748.0,86.7,0.0,BLR-CCU,False,normal
2025-08-04,Air India Express,BOM,AMD,16,0,16,4810.0,82.1,0.0,BOM-AMD,False,normal
2025-08-05,IndiGo,DEL,BOM,17,0,17,4469.0,81.2,0.0,DEL-BOM,True,normal
2025-08-05,IndiGo,DEL,BLR,18,0,18,6012.0,85.8,0.0,DEL-BLR,True,normal
2025-08-05,IndiGo,BOM,BLR,9,0,9,4366.0,80.2,0.0,BOM-BLR,True,normal
2025-08-05,IndiGo,DEL,CCU,16,1,15,3258.0,88.2,0.062,DEL-CCU,True,normal
2025-08-05,IndiGo,BOM,HYD,14,0,14,4847.0,88.6,0.0,BOM-HYD,True,normal
2025-08-05,IndiGo,DEL,HYD,17,0,17,5395.0,88.3,0.0,DEL-HYD,True,normal
2025-08-05,IndiGo,BLR,MAA,20,2,18,5035.0,93.7,0.1,BLR-MAA,True,normal
2025-08-05,IndiGo,DEL,MAA,20,0,20,3260.0,73.2,0.0,DEL-MAA,True,normal
2025-08-05,IndiGo,BOM,PNQ,17,1,16,3951.0,77.0,0.059,BOM-PNQ,True,normal
2025-08-05,IndiGo,DEL,GOI,15,0,15,4642.0,89.4,0.0,DEL-GOI,True,normal
2025-08-05,IndiGo,BLR,CCU,21,2,19,3033.0,84.4,0.095,BLR-CCU,True,normal
2025-08-05,IndiGo,BOM,AMD,14,1,13,4478.0,95.2,0.071,BOM-AMD,True,normal
2025-08-05,Air India,DEL,BOM,19,0,19,2615.0,87.0,0.0,DEL-BOM,False,normal
2025-08-05,Air India,DEL,BLR,21,0,21,4012.0,79.9,0.0,DEL-BLR,False,normal
2025-08-05,Air India,BOM,BLR,22,0,22,4555.0,81.9,0.0,BOM-BLR,False,normal
2025-08-05,Air India,DEL,CCU,21,0,21,3494.0,88.9,0.0,DEL-CCU,False,normal
2025-08-05,Air India,BOM,HYD,27,0,27,3806.0,80.1,0.0,BOM-HYD,False,normal
2025-08-05,Air India,DEL,HYD,19,0,19,2827.0,92.6,0.0,DEL-HYD,False,normal
2025-08-05,Air India,BLR,MAA,22,0,22,6502.0,85.8,0.0,BLR-MAA,False,normal
2025-08-05,Air India,DEL,MAA,19,0,19,5122.0,88.6,0.0,DEL-MAA,False,normal
2025-08-05,Air India,BOM,PNQ,15,0,15,4197.0,91.7,0.0,BOM-PNQ,False,normal
